Name,Height,Pos,Team,Weight,cluster
Reggie Bullock,197.5,SF,PHO,92.25,4
Reggie Evans,200.0,PF,SAC,110.25,0
Reggie Jackson,187.5,PG,OKC,93.6,1
Richard Jefferson,197.5,SF,DAL,104.85,0
Ricky Rubio,197.5,SG,NYK,87.75,4
Robbie Hummel,200.0,SF,MIN,96.75,4
Robert Covington,202.5,SF,PHI,96.75,4
Robin Lopez,210.0,C,POR,114.75,2
Rodney Hood,200.0,SG,UTA,92.7,4
Rodney Stuckey,192.5,PG,IND,94.5,4
Ronnie Price,185.0,PG,LAL,85.5,1
Roy Hibbert,215.0,C,IND,121.5,2
Rudy Gay,200.0,SF,SAC,103.5,0
Rudy Gobert,212.5,C,UTA,110.25,2
Russ Smith,180.0,PG,MEM,74.25,3
Ryan Anderson,205.0,PF,NOH,108.0,0
Ryan Hollins,210.0,C,SAC,108.0,0
Ryan Kelly,207.5,PF,LAL,103.5,0
Samuel Dalembert,207.5,C,NYK,114.75,2
Sean Kilpatrick,190.0,SG,MIN,94.5,4
Serge Ibaka,205.0,PF,OKC,105.75,0
Sergey Karasev,197.5,SG,NJN,93.6,4
Seth Curry,185.0,PG,PHO,83.25,3
Shabazz Muhammad,195.0,SG,MIN,100.35,4
Shane Larkin,177.5,PG,NYK,78.75,3
Shannon Brown,190.0,SG,MIA,92.25,1
Shaun Livingston,197.5,PG,GSW,86.4,1
Shavlik Randolph,205.0,PF,BOS,108.0,0
Shawn Marion,197.5,SF,CLE,99.0,4
Shawne Williams,207.5,PF,IND,112.5,2
Shelvin Mack,187.5,PG,ATL,91.35,1
Solomon Hill,197.5,SF,IND,101.25,4
Spencer Dinwiddie,195.0,PG,DET,90.0,4
Spencer Hawes,212.5,PF,LAC,110.25,2
Stephen Curry,187.5,PG,GSW,85.5,1
Steve Blake,187.5,PG,POR,77.4,3
Steve Novak,205.0,PF,OKC,101.25,0
Steven Adams,210.0,C,OKC,114.75,2
Taj Gibson,202.5,PF,CHI,101.25,0
Tarik Black,202.5,C,LAL,112.5,2
Tayshaun Prince,202.5,SF,MEM,95.4,4
Terrence Jones,202.5,PF,HOU,113.4,2
Terrence Ross,197.5,SF,TOR,92.7,4
Thabo Sefolosha,197.5,SF,ATL,99.0,4
Tiago Splitter,207.5,C,SAS,110.25,2
Tim Duncan,207.5,C,SAS,112.5,2
Tim Frazier,182.5,PG,POR,76.5,3
Tim Hardaway Jr.,195.0,SG,NYK,92.25,4
Timofey Mozgov,212.5,C,CLE,123.75,2
Tobias Harris,202.5,SF,ORL,105.75,0
Toney Douglas,185.0,SG,NOH,87.75,1
Tony Allen,190.0,SG,MEM,95.85,4
Tony Parker,185.0,PG,SAS,83.25,3
Tony Snell,197.5,SF,CHI,90.0,4
Toure' Murry,192.5,SG,WAS,87.75,1
Trevor Ariza,200.0,SF,HOU,96.75,4
Trevor Booker,200.0,PF,UTA,102.6,0
Trey Burke,182.5,PG,UTA,85.95,3
Troy Daniels,190.0,SG,MIN,92.25,1
Ty Lawson,177.5,PG,DEN,87.75,3
Tyler Ennis,187.5,PG,PHO,87.3,1
Tyler Hansbrough,202.5,PF,TOR,112.5,2
Tyler Johnson,190.0,SG,MIA,83.7,1
Tyreke Evans,195.0,SG,NOH,99.0,4
Tyson Chandler,212.5,C,DAL,108.0,2
Udonis Haslem,200.0,PF,MIA,105.75,0
Vander Blue,190.0,SG,LAL,90.0,1
Victor Claver,202.5,SF,POR,100.8,0
Victor Oladipo,190.0,SG,ORL,94.5,4
Vince Carter,195.0,SG,MEM,99.0,4
Wayne Ellington,190.0,SG,LAL,90.0,1
Wesley Johnson,197.5,SF,LAL,96.75,4
Wesley Matthews,192.5,SG,POR,99.0,4
Will Barton,195.0,SG,POR,78.75,1
Will Bynum,180.0,SG,WAS,83.25,3
Will Cherry,180.0,PG,CLE,83.25,3
Willie Green,190.0,SG,ORL,90.0,1
Wilson Chandler,200.0,SF,DEN,101.25,0
Xavier Henry,195.0,SF,LAL,99.0,4
Zach LaVine,192.5,PG,MIN,85.05,1
Zach Randolph,202.5,PF,MEM,117.0,2
Zaza Pachulia,207.5,C,MIL,121.5,2
Zoran Dragic,192.5,SG,PHO,90.0,1
